,Tweet Id,Text,UTC,Created At,Favorites,Retweets,color,member
246,1527955135661756416,"[📢] 5.25開催 2ND ALBUM ""KIZUNA""リリースイベントにて
《#JO1とのKIZUNAエピ 》を募集☺︎
投稿いただいた中からいくつか
ステージで紹介させていただきます！

✅例
アラーム音をWith Usに設定した！毎朝テンション上がる！
など

上のハッシュタグをつけて投稿して下さい！

#JO1 #KIZUNA #With_Us",2022-05-21T10:11:07.000Z,Sat May 21 10:11:07 +0000 2022,14465,4701,orange,Group
247,1527930276957265920,"[#JO1]
JAM今日は何して過ごしてますか？？

ぼくたちは、いつでもひとつ🌏💗
どんなときもWith Us〜〜〜

#JO1 #KIZUNA #With_Us https://t.co/rPlCKCt1Pt",2022-05-21T08:32:20.000Z,Sat May 21 08:32:20 +0000 2022,37094,10289,orange,Group
248,1527885530318635008,"TBS《 王様のブランチ 》
#木全翔也 #佐藤景瑚 #白岩瑠姫 が
出演させていただきました！

ありがとうございました！

#JO1 #KIZUNA #With_Us https://t.co/EQV7lmQ3X9",2022-05-21T05:34:31.000Z,Sat May 21 05:34:31 +0000 2022,26532,6793,silver,Shiroiwa Ruki
249,1527846645441826817,"JO1 FCコンテンツ
『JO1 Challenge 』更新！

🔸洗濯バサミタワー🔸

JO1公式HP内 FCコンテンツ
『MOVIE』よりチェックして下さい！

▶️https://t.co/3SLfb32mFY

#JO1 #KIZUNA
#JO1_Challenge #KONOJUNKI #河野純喜 https://t.co/bjYpXlZ0aR",2022-05-21T03:00:00.000Z,Sat May 21 03:00:00 +0000 2022,14268,4692,deepskyblue,Kono Junki
250,1527842867632254978,"日本テレビ《 ゼロイチ 》
#川尻蓮 が
出演させていただきました！

ありがとうございました！

#JO1 #KIZUNA #With_Us https://t.co/a6jr6GXKpc",2022-05-21T02:45:00.000Z,Sat May 21 02:45:00 +0000 2022,22876,6002,darkblue,Kawashiri Ren
251,1527839093450625024,"CBC《 花咲かタイムズ  》
#木全翔也 #佐藤景瑚 が
出演させていただきました！

ありがとうございました🌟

#JO1 #KIZUNA #With_Us https://t.co/OMPxDE6Bs7",2022-05-21T02:30:00.000Z,Sat May 21 02:30:00 +0000 2022,20905,5432,brown,Sato Keigo
252,1527816887807406080,"関西テレビ《 土曜はナニする！？ 》
#河野純喜 #大平祥生 が
出演させていただきました☀️

ありがとうございました！

#JO1 #KIZUNA #With_Us https://t.co/9oovJCPi3E",2022-05-21T01:01:46.000Z,Sat May 21 01:01:46 +0000 2022,22221,6100,gold,Ohira Shosei
253,1527665704018640897,"[D-4]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #大平祥生 #KIZUNA #With_Us https://t.co/xMv5sUdhIl",2022-05-20T15:01:01.000Z,Fri May 20 15:01:01 +0000 2022,22869,6899,gold,Ohira Shosei
254,1527665196847681536,"日本テレビ《 #MUSICBLOOD 》
出演させていただきました！
ありがとうございました！

🎧 #With_Us MV
https://t.co/XPRDFaFxmk
💿 #KIZUNA サブスク
https://t.co/BZkRVU0OXu

来週5月25日(水) リリース、
〖 2ND ALBUM ""KIZUNA"" 〗
ぜひチェックしてください😉🫰🏻❤️

#JO1 https://t.co/6TXuRAJtUI",2022-05-20T14:59:00.000Z,Fri May 20 14:59:00 +0000 2022,29286,9295,orange,Group
255,1527631124184580096,"[#大平祥生]

宝島社さんとコラボして
プロデュースアイテムを
出させて頂く事になりました！
全て自分で描き下ろしてデザインしたので
世界に1つだけの特別なポーチです💛🍮

素敵なスタッフさんとお仕事できて幸せでした！
たくさんの方に愛されますように！ :)🦋

#JO1 #OHIRASHOSEI https://t.co/ZpQiRWYUgA",2022-05-20T12:43:36.000Z,Fri May 20 12:43:36 +0000 2022,31966,8461,gold,Ohira Shosei
